dataset,country,crop_ua,crop_ua_se,crop_pa,crop_pa_se,oa,oa_se,crop_f1_score,crop_f1_score_se,non_crop_ua,non_crop_pa,non_crop_ua_se,non_crop_pa_se,crop_area_proportion,crop_area_proportion_se
esri-lulc,Uganda,0.5431255254139818,0.04152441846941157,0.3717401092589611,0.03341468521636473,0.6953703006049499,0.018289167156410054,0.44137966168311143,0.10957446982291583,0.7387082166663543,0.8503000085800445,0.019328506565584377,0.019328506565584377,0.3237415174043798,0.018473690857085372
copernicus,Zambia,0.6123088060493489,0.04662350423709478,0.5310649477855749,0.0437864376796735,0.7924972980397224,0.018820367013960594,0.5688004347180299,0.13518508203180446,0.8443651566840541,0.8832610031060928,0.021703564826062394,0.021703564826062394,0.25770789790297494,0.01963305740237484
glad,Zambia,0.664009236396563,0.038877789893393216,0.783429222604628,0.03720115573185474,0.8420280402922237,0.016942312486281873,0.71879289463045,0.11399781453019969,0.9198039089288335,0.8623722930240086,0.021917851782912303,0.021917851782912303,0.25770789790297494,0.01963305740237484
gflfc30,Zambia,0.660878266122441,0.07934190565456979,0.1684779492249933,0.03156140484747248,0.7634307253648855,0.01916668232748059,0.2685056502941482,0.1184405202697083,0.7706419318046335,0.9699855692833378,0.02013086608981413,0.02013086608981413,0.25770789790297494,0.01963305740237484
dynamicworld,Zambia,0.8122158045002811,0.05638541807216236,0.27394661489030475,0.03734125103287362,0.7965680116322288,0.018362970375448814,0.40970625797953486,0.11964315637281428,0.7950784216992884,0.9780109519154238,0.01999171837494904,0.01999171837494904,0.25770789790297494,0.01963305740237484
digital-earth-africa,Zambia,0.682843810363381,0.03852378427161477,0.7941948842021426,0.03656568619464251,0.8519004660582141,0.01646239733385221,0.734322076862337,0.11256844270341411,0.9242609675744454,0.8719346064665305,0.021774078586947316,0.021774078586947316,0.25770789790297494,0.01963305740237484
esri-lulc,Zambia,0.7848897065147263,0.054550185324113,0.3315985760893405,0.03921923528679035,0.804327347616656,0.0183509391802731,0.4662266736206509,0.12670162595396922,0.8067022027410278,0.968448638472902,0.02021174170756565,0.02021174170756565,0.25770789790297494,0.01963305740237484
ensemble,Kenya,0.6193961860060129,0.08266692627654448,0.5023054124162756,0.07755869492353769,0.9308394818120796,0.012357886480246228,0.554739437116659,0.23893224360266946,0.9541216417412955,0.9710430928107233,0.014564986158992495,0.014564986158992495,0.08576995765480547,0.01279175878100715
ensemble,Rwanda,0.7644184317863908,0.046497894203930766,0.5959308500328377,0.04258297258116241,0.6697191596884948,0.03034762593842761,0.669740531969888,0.13245314787536433,0.5958843136640319,0.7643836279169729,0.02637135394673116,0.02637135394673116,0.5619644236059437,0.030586081777119502
ensemble,Malawi,0.5670255810609076,0.06611720813279218,0.22449025293587774,0.03578309604831321,0.8021443139813728,0.014772386339908407,0.32164035296858806,0.1301811594801665,0.8233480873149922,0.9547225601197077,0.014963635671188948,0.014963635671188948,0.2089448037799901,0.014997482294639366
ensemble,Tanzania,0.7012600107580843,0.04952038650851762,0.3901826060853647,0.03992950612408516,0.834776525294949,0.014239730252901293,0.5013904612454524,0.12780813162823673,0.8527185724937096,0.9550380318439832,0.015823424335750146,0.015823424335750146,0.21290670331708217,0.015217214326537378
ensemble,Uganda,0.5862930516217422,0.0359159742212549,0.519039085013811,0.034662271820690975,0.7257225170975532,0.017748717308758377,0.5506200335221774,0.10566044301868545,0.7817380142490729,0.8246669438917482,0.019251554658075192,0.019251554658075192,0.3237415174043798,0.018473690857085372
ensemble,Zambia,0.7890503236500601,0.05401037852903517,0.3008862773222025,0.03760922629974409,0.7991026349701644,0.01845403578985304,0.4356481180486341,0.12089420259424996,0.8001981423410066,0.9720726690950199,0.02005155002219984,0.02005155002219984,0.25770789790297494,0.01963305740237484
