lat,lon,geom,binary,country,map,glad,digital-earth-africa,ensemble
0.953337095,36.90804702,POINT(36.90804701604204 0.953337095271842),0,Kenya,0,0,,
-4.155202262,38.79864136,POINT(38.79864136299999 -4.155202262459053),0,Kenya,0,0,,
1.529336855,39.58502656,POINT(39.58502656271821 1.529336855449279),0,Kenya,0,0,,
-0.886502438,39.20593751,POINT(39.20593751281978 -0.88650243813335),0,Kenya,0,0,,
-2.532395702,40.58700743,POINT(40.58700743062513 -2.532395701697137),0,Kenya,0,0,,
-1.492955086,35.69487222,POINT(35.694872224838626 -1.492955086442439),0,Kenya,0,0,,
0.01558577,40.650159,POINT(40.650158995098735 0.015585770179474),0,Kenya,0,0,,
1.852101537,39.90446748,POINT(39.90446747775112 1.852101537033424),0,Kenya,0,0,,
2.555931562,37.39708986,POINT(37.39708985671671 2.555931562141068),0,Kenya,0,0,,
1.41561014,36.80608823,POINT(36.806088231294474 1.415610140479748),0,Kenya,0,0,,
3.315726629,38.78103438,POINT(38.78103438343124 3.31572662944936),0,Kenya,0,0,,
-3.881216101,39.70144822,POINT(39.701448223540105 -3.881216100802598),0,Kenya,0,0,,
-0.909139983,40.3564099,POINT(40.35640989719165 -0.909139983293162),0,Kenya,0,0,,
-2.391360202,39.8968318,POINT(39.8968317978361 -2.391360202090372),0,Kenya,0,0,,
-1.912737819,36.2352987,POINT(36.23529869976493 -1.912737818711491),0,Kenya,0,0,,
0.648628551,37.43122584,POINT(37.43122583751325 0.6486285508985),0,Kenya,0,0,,
2.73622344,35.68723654,POINT(35.687236544923614 2.736223439663856),0,Kenya,0,0,,
-0.013160319,40.55305111,POINT(40.55305111288541 -0.013160318912351),0,Kenya,0,0,,
-0.700371511,39.4352774,POINT(39.43527740485549 -0.700371511263785),0,Kenya,0,0,,
-3.399719109,39.13856387,POINT(39.138563866510815 -3.399719108514535),0,Kenya,0,0,,
-3.716465078,39.13892319,POINT(39.13892319262446 -3.716465077695078),0,Kenya,0,0,,
-1.157164833,40.83584076,POINT(40.835840764326235 -1.157164833238562),0,Kenya,0,0,,
-2.278621634,36.86232277,POINT(36.86232276808036 -2.278621633933372),0,Kenya,0,0,,
-0.881471873,33.96777126,POINT(33.967771259590435 -0.88147187254228),0,Kenya,0,0,,
2.552338301,39.43860117,POINT(39.43860117140673 2.55233830100459),0,Kenya,0,0,,
2.453164294,39.02016591,POINT(39.02016591206386 2.453164293637795),0,Kenya,0,0,,
3.942750698,37.07306753,POINT(37.0730675337348 3.942750697764786),0,Kenya,0,0,,
0.568947985,39.48163047,POINT(39.481630473516056 0.568947985197099),0,Kenya,0,0,,
0.766397685,38.73854407,POINT(38.73854407049239 0.76639768464657),0,Kenya,0,0,,
2.822551538,36.27455508,POINT(36.27455507768096 2.822551538467743),0,Kenya,0,0,,
0.117364892,34.61770237,POINT(34.61770236765091 0.117364891870215),1,Kenya,0,0,,
2.719874101,38.10909455,POINT(38.109094550909845 2.719874101492881),0,Kenya,0,0,,
-3.485418387,39.0622969,POINT(39.062296898889066 -3.485418386619537),0,Kenya,0,0,,
1.857311766,38.33349371,POINT(38.3334937088829 1.857311765681317),0,Kenya,0,0,,
4.263269591,36.9766783,POINT(36.97667830374877 4.263269591138631),0,Kenya,0,0,,
-3.141902622,37.77294497,POINT(37.77294497159232 -3.141902621972232),1,Kenya,0,0,,
2.129231802,37.85666796,POINT(37.85666795607226 2.129231802184296),0,Kenya,0,0,,
2.094916158,36.40804473,POINT(36.40804472890112 2.09491615833093),0,Kenya,0,0,,
-0.795143774,38.81103811,POINT(38.81103811392084 -0.795143773738394),0,Kenya,0,0,,
3.699397087,40.17099762,POINT(40.17099762254938 3.699397087296807),0,Kenya,0,0,,
-3.450653585,38.51522289,POINT(38.51522289086028 -3.450653585124112),0,Kenya,0,0,,
-2.060870009,37.61133805,POINT(37.61133805197922 -2.0608700090628),0,Kenya,0,0,,
-0.839161223,40.45234997,POINT(40.45234996953561 -0.839161222660251),0,Kenya,0,0,,
2.351564835,36.34758811,POINT(36.34758811027987 2.351564835003877),0,Kenya,0,0,,
-1.002654604,41.04901098,POINT(41.0490109812478 -1.002654604370004),0,Kenya,0,0,,
-0.894138118,39.81607325,POINT(39.81607325379375 -0.894138118048366),0,Kenya,0,0,,
-1.721306832,40.44300749,POINT(40.44300749058077 -1.721306831665621),0,Kenya,0,0,,
-4.24970503,38.84795887,POINT(38.84795887209815 -4.249705030348426),0,Kenya,0,0,,
-0.021155325,36.96598835,POINT(36.96598835186775 -0.021155324941015),0,Kenya,0,0,,
-0.822272895,39.74438769,POINT(39.744387694121016 -0.822272895318804),0,Kenya,0,0,,
0.125449729,35.44487108,POINT(35.44487108126817 0.125449729427291),0,Kenya,0,0,,
0.910577288,37.09848986,POINT(37.09848985627538 0.910577287747753),0,Kenya,0,0,,
4.347351902,34.84479647,POINT(34.84479647147632 4.347351901732218),0,Kenya,0,0,,
1.320209057,36.71041765,POINT(36.71041765353575 1.320209057306255),0,Kenya,0,0,,
1.041641488,35.73745237,POINT(35.73745236930589 1.041641487700791),0,Kenya,0,0,,
0.304843292,37.32765009,POINT(37.32765008525427 0.30484329166596),0,Kenya,0,0,,
-1.856682945,41.29811381,POINT(41.298113809534144 -1.856682944982433),0,Kenya,0,0,,
3.597168808,41.11809143,POINT(41.11809142659659 3.597168807964006),0,Kenya,0,0,,
2.933493476,37.59489888,POINT(37.59489888227983 2.933493476056504),0,Kenya,0,0,,
-1.101379454,40.52870677,POINT(40.52870676868577 -1.101379454094739),0,Kenya,0,0,,
-1.130215375,40.96376086,POINT(40.96376086078486 -1.130215374714976),0,Kenya,0,0,,
0.560234327,38.14880009,POINT(38.14880008646792 0.56023432694114),0,Kenya,0,0,,
1.669384208,36.53506651,POINT(36.535066510075616 1.669384208243513),0,Kenya,0,0,,
-1.260291428,37.57127319,POINT(37.57127319030749 -1.260291427855483),0,Kenya,0,0,,
0.532566216,36.67520369,POINT(36.67520369439826 0.532566216190258),0,Kenya,0,0,,
2.998082345,34.8816274,POINT(34.881627398125225 2.998082344984697),0,Kenya,0,0,,
1.728403522,39.60065725,POINT(39.600657248661896 1.728403522410165),0,Kenya,0,0,,
2.800542814,35.81192271,POINT(35.811922706359404 2.800542814006814),0,Kenya,0,0,,
1.937351657,36.57611952,POINT(36.57611951855988 1.937351657496366),0,Kenya,0,0,,
-0.781489381,39.19902049,POINT(39.19902048513206 -0.781489381419778),0,Kenya,0,0,,
-1.500590766,35.72775056,POINT(35.727750564237404 -1.500590766357455),0,Kenya,0,0,,
4.4154442,34.96984196,POINT(34.969841959025764 4.415444200268478),0,Kenya,0,0,,
3.895409482,37.15301759,POINT(37.153017594021435 3.895409482291687),0,Kenya,0,0,,
-0.638747083,38.64116669,POINT(38.64116669369383 -0.638747082773186),0,Kenya,0,0,,
1.677558877,40.77996555,POINT(40.779965553654 1.677558877329),0,Kenya,0,0,,
2.190856231,40.00633643,POINT(40.00633643097027 2.190856230674895),0,Kenya,0,0,,
-1.847789624,39.14296561,POINT(39.142965611403 -1.84778962366965),0,Kenya,0,0,,
0.379942449,36.97434268,POINT(36.97434268401006 0.379942449418352),0,Kenya,0,0,,
-1.624558276,40.15312115,POINT(40.1531211483954 -1.624558275565949),0,Kenya,0,0,,
-1.080089382,38.61331892,POINT(38.613318919886126 -1.080089381861107),0,Kenya,0,0,,
2.92846291,36.74194852,POINT(36.74194852000834 2.928462910465434),0,Kenya,0,0,,
-0.716361523,34.11931705,POINT(34.1193170480214 -0.716361523321112),0,Kenya,0,0,,
-4.115047569,39.198212,POINT(39.19821200137635 -4.11504756925891),0,Kenya,0,0,,
0.897731379,40.30933818,POINT(40.30933817630378 0.897731379184844),0,Kenya,0,0,,
-2.499068205,40.12203944,POINT(40.122039439564865 -2.499068204656303),0,Kenya,0,0,,
4.307556535,35.94999377,POINT(35.949993765528575 4.307556534645723),0,Kenya,0,0,,
-0.683303521,34.02445495,POINT(34.02445495401838 -0.683303520865514),0,Kenya,0,0,,
-0.208813388,39.256333,POINT(39.256333000258884 -0.208813387793583),0,Kenya,0,0,,
3.726346546,36.8176765,POINT(36.81767649845962 3.726346545820393),0,Kenya,0,0,,
-1.323532824,37.57351898,POINT(37.57351897851778 -1.323532823857497),0,Kenya,0,0,,
-2.423160563,40.31176363,POINT(40.31176362757091 -2.423160563148203),0,Kenya,0,0,,
2.369980298,38.11708956,POINT(38.1170895569385 2.369980298328327),0,Kenya,0,0,,
1.915432765,40.33808427,POINT(40.33808426539561 1.91543276456385),0,Kenya,0,0,,
-0.454682281,39.74501651,POINT(39.7450165148199 -0.454682281057096),0,Kenya,0,0,,
1.515053642,35.86806741,POINT(35.86806741161687 1.515053642431779),0,Kenya,0,0,,
-3.559888724,38.54495713,POINT(38.544957126764636 -3.559888723673046),0,Kenya,0,0,,
-0.45989251,40.7678383,POINT(40.76783829731839 -0.459892509704989),0,Kenya,0,0,,
2.262002801,40.90599919,POINT(40.90599918801597 2.262002801177161),0,Kenya,0,0,,
3.920292816,36.00712662,POINT(36.00712661759857 3.920292815661798),0,Kenya,0,0,,
4.055579097,36.85351928,POINT(36.853519278295984 4.055579097450198),0,Kenya,0,0,,
2.473556051,38.97848408,POINT(38.97848408288071 2.473556050587308),0,Kenya,0,0,,
